Feature,IDF,Weight_Class_-1,Weight_Class_0,Weight_Class_1
aaa,7.790097235513905,-0.1996132370333523,-0.12653937573790594,0.23027723505995978
abandon,7.790097235513905,-0.8413878868439107,-0.24041513956992588,0.5200500895008028
able,5.532974516596616,-0.10641729218885121,-0.6042868680023261,0.371264572217469
absolute,6.095501514739497,0.5794482127760138,-0.4794432858978356,-0.08145377521894756
absolutely,4.963441292003848,-0.6374348374557528,-0.43745420183166767,0.6510597877388825
absolutely amazing,8.195562343622068,1.353696547266795,-0.22483255355665974,-0.6273545099927766
absolutely beautiful,8.195562343622068,0.11598416565958186,-0.00035015328618354016,-0.03690112139492326
absolutely gorgeous,7.9078802711702885,-0.28554243868243195,-0.23608294861741771,0.20015756094216494
absolutely love,7.502415163062124,-0.3045834307090803,-0.18080249388840328,0.1672619935996848
absolutely recommend,8.195562343622068,0.6696769049045193,-0.13732640593546036,-0.38252651180832054
absolutely stun,8.195562343622068,-0.23103577017382518,-0.28936285133897416,0.299327475038298
absolutely terrible,8.041411663794811,0.506548289441589,0.8658943786454215,-0.5760169075445388
absolutely worth,7.790097235513905,-0.6249660536331894,1.126431574398101,-0.5455825026017017
absurd,7.502415163062124,0.2865214531287695,0.27236900889455284,-0.19354625608519127
abusive,8.195562343622068,1.3919545831770241,-0.6744420986786738,-0.7008806061323393
abysmal,8.195562343622068,-0.23171773643963012,-0.7044920184563361,0.4975867760258587
accept,7.9078802711702885,-0.8182477666371875,-0.38563461869038423,0.7248570827234456
accessible,7.684736719856078,-0.6870618404257947,-0.4032344830194069,0.6214548018598441
accomplish,8.195562343622068,-0.012912398072556354,0.805062157304794,-0.36904501861554034
accurate,7.9078802711702885,-0.32804151211938737,-0.6358004913469696,0.5733057993019367
achieve,7.279271611747914,0.21151994752165817,0.9014986643266105,-0.5463161877676657
act,6.8092679825021785,0.177095797183135,-0.15741591542984737,-0.08019481349434085
active,8.041411663794811,-0.7123449612527197,-0.0005106978366177335,0.29676270345608574
actively,7.4223724553885875,-1.0851926292832363,1.1293794434117654,0.07314858150513233
actual,6.116120801942233,0.7458710835538146,-0.5524391860860587,-0.3092377565085361
actually,4.918417610629893,-0.6023939921453346,-0.8440157826228644,0.9828323168216488
actually care,8.195562343622068,-0.2022094575083021,-0.1496262342046513,0.2852439345844073
actually good,7.348264483234865,0.543247720227281,-0.4400340250013347,-0.006598810911149386
ada,8.041411663794811,1.217891229909154,-0.03782801607363355,-0.7552507676524912
adapt,8.195562343622068,-0.08694545888914136,0.8175781359357188,-0.1510285831575571
add,4.805538262558039,-0.658394717836727,-0.08991547793132379,0.37150225700096123
add new,7.348264483234865,-0.6121136662078439,-0.0003137760843158091,0.1881239249571883
added,7.790097235513905,0.6615332615844096,-0.6031698785092079,0.041796663819061955
addict,6.460961288233962,-0.1645528836460949,0.19539070080569815,-0.0340480587819123
addicting,8.041411663794811,-0.019337898336011308,0.4606876519884679,-0.27487829660559715
addictive,6.8092679825021785,0.22199324133203305,0.005881924985708148,-0.04667573627915785
additional,7.589426540051753,-0.12501292300081696,-0.10055800211721412,0.2882193337819107
additionally,7.9078802711702885,-0.1963483009032022,-0.0002778874896796849,0.09552479697636118
address,7.9078802711702885,0.2587764143929838,-0.14531843657504093,0.05188577198947635
adjust,7.9078802711702885,-1.08495822967063,0.5190578326769514,0.27604250197656627
adorable,8.195562343622068,-0.5444503831722868,-0.16476938353571471,0.40655126166020744
advance,8.195562343622068,1.2110280134180604,-0.8655140550106402,-0.09917345400613224
aesthetic,8.195562343622068,0.5397141914104934,-0.08833149713249727,-0.3265721734408534
affect,7.214733090610343,-0.1643372608959331,-1.0307319009953617,0.7361855935736296
afk,8.195562343622068,0.37014273435163686,-0.1541785522454451,-0.2700895357608876
aggressive,7.684736719856078,0.747774594030991,0.43352653712340494,-0.7883839199777093
ago,6.349735653123738,-0.08020652254065268,0.7293770017535433,-0.37709373078961667
agree,7.589426540051753,-0.5735343782432873,0.341273950226554,0.17034706121252208
ah,8.195562343622068,-0.0985891622707365,0.8157069878430857,-0.5904063431235169
ahead,7.348264483234865,-1.194625257950922,-0.8189624055807918,0.8657533480062878
ahh,8.195562343622068,1.2808574568956854,-0.9794109359714592,-0.4646417403232732
ai,6.349735653123738,-0.08266817223264428,-1.0318890953673767,0.6051720329070833
ai generate,8.195562343622068,1.4882150959029359,-0.18708778661114828,-0.8075126878612069
aim,6.991589539296133,0.16642078085406453,-0.0879345511686933,-0.31390589621902903
